RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
arroyo-correa_et_al_2019_X_arroyo-correa_et_al_2019_3;2019;arroyo-correa_et_al_2019;JOURNAL_OF_ECOLOGY;arroyo-correa_et_al_2019_3;2019;2010;Reused;No;-43.033;171.75;43.033;171.75;New Zealand;NZL;Southern;Oceania;Oceania;Montane_grasslands_and_shrublands;South_Island_montane_grasslands;no;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2006_X_primack_1983_craigieburn;2006;olesen_et_al_2006;JOURNAL_OF_THEORETICAL_BIOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_a_X_primack_1983_craigieburn;2007;olesen_et_al_2007_a;TAXON;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_b_X_primack_1983_craigieburn;2007;olesen_et_al_2007_b;PROCEEDINGS_OF_THE_NATIONAL_ACADEMY_OF_SCIENCES_OF_THE_UNITED_STATES_OF_AMERICA;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_&_rodrigues-girones_2007_X_primack_1983_craigieburn;2007;santamaria_&_rodrigues-girones_2007;PLOS_BIOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
joppa_et_al_2009_X_primack_1983_craigieburn;2009;joppa_et_al_2009;ECOLOGY_LETTERS;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
fortuna_et_al_2010_X_primack_1983_craigieburn;2010;fortuna_et_al_2010;JOURNAL_OF_ANIMAL_ECOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
gonzalez_et_al_2010_X_primack_1983_craigieburn;2010;gonzalez_et_al_2010;ECOLOGICAL_COMPLEXITY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
joppa_et_al_2010_X_primack_1983_craigieburn;2010;joppa_et_al_2010;EVOLUTIONARY_ECOLOGY_RESEARCH;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
thebault_&_fontaine_2010_X_primack_1983_craigieburn;2010;thebault_&_fontaine_2010;SCIENCE;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
